e1,c1,s1,e2,c2,s2,e10,c10,s10,e100,c100,s100,
0.130849,-1.6919,5,0.525306,0.490275,2.5,0.832064,-0.612801,3.4,1.09818,-50.6577,3.52,
0.900785,-3.03981,2,0.268518,2.72184,3,1.67015,1.59291,4.2,1.12692,-6.46752,3.62,
0.182466,-0.841827,6,0.881601,0.805316,3,0.77801,-3.27047,2.7,1.06716,0.587523,3.74,
0.371433,0.508478,2,0.471746,-1.02846,3.5,0.824814,0.938193,3.9,1.00538,0.688005,3.65,
0.935728,-59.0992,1,0.52898,1.84392,1.5,1.13755,2.05973,3.5,0.924739,2.94379,3.54,
0.016343,-0.562374,5,1.14224,4.12395,3.5,1.30112,-0.56458,2.8,1.05005,2.23279,3.44,
1.19021,-1.3708,5,0.297733,0.362801,3,0.823644,-1.10554,4.2,0.945671,0.482923,3.43,
0.377919,0.0516881,4,0.904819,7.5601,4,1.86327,-6.39758,3.3,1.08754,-0.949147,3.77,
1.91721,0.398194,3,0.601158,-0.465018,1.5,1.02806,-1.82609,2.5,1.13651,-0.0988134,3.64,
0.339108,0.708321,2,0.385049,-1.76465,5.5,1.03681,0.138831,2.8,0.935986,-0.9493,3.35,
0.348682,-3.76646,3,2.00785,-2.49273,3.5,1.03542,-4.73873,3.1,0.918229,1.01476,3.69,
0.694705,-0.643588,1,1.14906,0.821302,3.5,1.35354,-4.00398,3.4,1.00308,-5.43028,3.51,
0.97204,0.372793,5,0.461988,-0.799145,5.5,1.05592,-11.4065,3.7,0.964233,-16.1011,3.4,
0.661863,-1.15671,3,0.5054,13.1141,3.5,1.23757,-0.918378,3.3,1.00169,14.9099,3.32,
0.0462205,0.649735,6,0.588594,-0.484116,4.5,0.983867,-1.15753,3.4,1.00715,-23.1323,3.49,
3.77103,0.991477,2,0.260105,-1.8918,2,1.34533,0.442635,2.8,0.977052,0.545307,3.45,
1.59956,0.734421,2,0.705734,-1.51805,2,0.668584,2.52989,3.5,0.947562,-3.94592,3.44,
1.54648,0.151353,5,1.34774,-7.57403,3,0.351588,-0.0295938,3.8,0.930016,-0.619112,3.19,
1.0262,0.907812,3,1.14399,-0.150025,1.5,0.841059,-2.27799,3.8,1.11445,-3.79042,3.7,
0.642892,0.229952,3,1.21035,-3.09973,2.5,0.778598,-0.361873,4.1,0.970505,2.25208,3.55,
0.501819,-0.121887,4,1.09677,-0.786488,1,1.23774,2.71955,3.7,1.09892,0.282909,3.64,
0.0350954,-2.12797,3,0.655645,-1.72656,4,0.938982,14.6933,3.4,1.06784,1.80563,3.42,
0.394415,-0.0461847,1,0.961236,0.166299,3.5,0.820059,0.667602,3.5,1.08412,-0.675933,3.76,
1.6952,0.896516,5,0.693399,1.52396,5.5,0.806461,0.846983,3.1,1.28934,0.573803,3.85,
0.0553771,-0.918317,3,0.655257,-0.0570482,4,1.08358,4.16141,3.2,0.902575,-0.481076,3.41,
0.565204,-0.489333,3,1.225,-0.582255,1.5,0.659579,-0.91132,3.6,0.991496,-0.819872,3.4,
1.09688,0.742202,3,1.22012,0.615707,3.5,0.557364,0.701633,3.5,0.915385,0.0550402,3.14,
0.603119,-0.835999,3,0.285789,-15.7949,6,0.823654,-0.475544,3.7,0.931144,1.79845,3.36,
0.0310837,-125.827,2,0.856352,0.0359309,3.5,1.26467,-0.611998,3.5,0.956886,-0.0566057,3.32,
0.714882,-0.599097,2,0.532998,-0.982321,2,0.702453,-0.609385,3.8,1.1604,-0.217934,3.21,
0.0879638,-2.28483,1,0.283093,1.18481,2.5,1.10786,-1.22961,2.3,1.0955,-4.48609,3.36,
0.553373,-0.766499,6,0.263427,0.681387,5.5,0.724085,-0.93052,3.6,0.906543,3.66917,3.4,
1.97985,-0.215449,5,0.733037,-2.24575,2,0.862243,0.7402,3.5,0.944245,0.567717,3.74,
1.47617,0.51896,4,0.782219,-1.59174,3.5,0.772585,7.70474,3.4,0.995598,-0.162889,3.37,
0.651774,0.6851,5,0.125131,-0.110442,3,1.22536,-2.17318,3.3,1.06244,0.513611,3.54,
1.57278,-5.37675,1,0.79016,1.0734,4.5,1.33438,0.315427,3.7,0.968845,2.08881,3.4,
0.419512,0.167317,5,1.71871,-2.69,3,0.843684,-4.61714,2.6,1.03128,0.201845,3.28,
0.152962,0.47697,1,0.537621,-0.337139,5.5,1.21352,0.484047,4.1,0.935191,-0.0473104,3.72,
0.225962,3.00259,1,1.548,17.4998,2,1.36114,0.917631,3.9,1.1471,0.327769,3.55,
1.74866,-0.0195013,1,1.15119,4.00388,3,0.626995,-0.0806693,3.4,1.03313,-6.14638,3.54,
0.262302,2.30885,6,0.646507,-0.117309,2.5,1.05129,-1.97274,2.9,1.0238,1.46741,3.25,
1.82878,-0.0953381,2,1.84739,-0.564986,4,0.814064,0.397991,3.3,0.930146,141.794,3.65,
