t,discreteMSD
0,1
1,2
2,3
3,6
4,9
5,14
6,19
7,18
8,19
9,22
10,27
11,22
12,29
13,22
14,19
15,26
16,35
17,34
18,29
19,20
20,25
21,18
22,25
23,26
24,33
25,32
26,25
27,26
28,21
29,26
30,25
31,32
32,41
33,42
34,35
35,30
36,33
37,30
38,33
39,44
40,41
41,30
42,33
43,44
44,41
45,54
46,53
47,40
48,41
49,30
50,27
51,18
52,27
53,38
54,27
55,38
56,37
57,36
58,37
59,26
60,29
61,30
62,29
63,20
64,21
65,20
66,29
67,34
68,41
69,52
70,53
71,42
72,33
73,36
74,41
75,48
76,41
77,34
78,29
79,38
80,29
81,34
82,43
83,34
84,41
85,34
86,29
87,26
88,21
89,18
90,27
91,26
92,37
93,36
94,37
95,40
96,41
97,38
98,27
99,18
0,11
1,6
2,5
3,2
4,3
5,6
6,5
7,6
8,3
9,6
10,5
11,6
12,9
13,14
14,9
15,8
16,13
17,14
18,19
19,18
20,19
21,26
22,35
23,26
24,25
25,20
26,25
27,34
28,35
29,26
30,29
31,38
32,33
33,30
34,29
35,30
36,29
37,34
38,41
39,42
40,45
41,36
42,29
43,38
44,43
45,50
46,45
47,42
48,53
49,62
50,51
51,50
52,51
53,50
54,61
55,72
56,73
57,62
58,61
59,62
60,61
61,74
62,89
63,90
64,101
65,90
66,93
67,90
68,101
69,104
70,117
71,132
72,137
73,122
74,107
75,94
76,81
77,70
78,77
79,86
80,77
81,88
82,101
83,94
84,81
85,94
86,109
87,122
88,109
89,126
90,115
91,110
92,107
93,118
94,101
95,114
96,113
97,114
98,129
99,146
0,145
1,128
2,129
3,146
4,165
5,168
6,149
7,132
8,149
9,134
10,117
11,132
12,117
13,122
14,109
15,116
16,133
17,142
18,133
19,116
20,125
21,110
22,125
23,116
24,133
25,126
26,115
27,122
28,141
29,162
30,173
31,152
32,161
33,152
34,161
35,174
36,155
37,142
38,161
39,142
40,125
41,116
42,105
43,90
44,77
45,86
46,77
47,70
48,81
49,88
50,97
51,110
52,121
53,136
54,149
55,136
56,153
57,172
58,153
59,136
60,125
61,136
62,153
63,142
64,131
65,142
66,155
67,142
68,161
69,172
70,153
71,166
72,181
73,198
74,217
75,230
76,213
77,194
78,179
79,166
80,155
81,142
82,155
83,170
84,187
85,198
86,217
87,206
88,187
89,170
90,189
91,210
92,233
93,218
94,195
95,174
96,155
97,170
98,161
99,144
0,137
1,132
2,129
3,114
4,117
5,134
6,149
7,154
8,137
9,122
10,129
11,138
12,123
13,114
14,129
15,144
16,129
17,114
18,129
19,116
20,125
21,114
22,105
23,90
24,105
25,114
26,131
27,114
28,99
29,110
30,97
31,88
32,81
33,70
34,61
35,56
36,69
37,78
38,65
39,70
40,59
41,70
42,83
43,90
44,83
45,98
46,83
47,78
48,89
49,78
50,89
51,76
52,65
53,54
54,59
55,66
56,57
57,68
58,61
59,70
60,81
61,94
62,107
63,114
64,101
65,110
66,101
67,88
68,101
69,110
70,97
71,110
72,125
73,116
74,105
75,114
76,125
77,114
78,125
79,138
80,129
81,116
82,133
83,116
84,125
85,142
86,133
87,122
88,115
89,110
90,93
91,90
92,107
93,126
94,129
95,126
96,117
97,116
98,125
99,106
0,97
1,106
2,89
3,90
4,101
5,100
6,113
7,100
8,113
9,114
10,99
11,114
12,129
13,146
14,145
15,146
16,145
17,164
18,145
19,128
20,145
21,130
22,131
23,146
24,163
25,146
26,129
27,132
28,117
29,134
30,149
31,154
32,149
33,146
34,131
35,150
36,165
37,150
38,165
39,186
40,171
41,186
42,165
43,164
44,145
45,164
46,145
47,128
48,145
49,130
50,131
51,114
52,99
53,114
54,99
55,86
56,89
57,94
58,101
59,90
60,105
61,122
62,131
63,114
64,99
65,90
66,81
67,96
68,105
69,114
70,99
71,90
72,99
73,110
74,125
75,142
76,131
77,114
78,99
79,90
80,77
81,86
82,97
83,86
84,77
85,68
86,77
87,70
88,83
89,70
90,65
91,78
92,65
93,62
94,51
95,62
96,65
97,62
98,75
99,86
0,101
1,114
2,101
3,104
4,93
5,84
6,81
7,80
8,65
9,58
10,59
11,54
12,53
13,54
14,51
15,50
16,37
17,26
18,29
19,40
20,29
21,30
22,21
23,20
24,29
25,30
26,41
27,46
28,59
29,46
30,59
31,58
32,65
33,66
34,65
35,66
36,69
37,84
38,77
39,62
40,57
41,54
42,69
43,68
44,69
45,66
46,69
47,86
48,83
49,86
50,69
51,72
52,57
53,62
54,69
55,56
56,61
57,54
58,61
59,56
60,49
61,56
62,65
63,54
64,65
65,78
66,65
67,56
68,53
69,66
70,81
71,74
72,73
73,74
74,77
75,62
76,49
77,56
78,61
79,70
80,77
81,66
82,57
83,48
84,41
85,34
86,29
87,24
88,29
89,22
90,29
91,26
92,19
93,14
94,21
95,30
96,35
97,30
98,35
99,30
0,33
1,30
2,27
3,30
4,29
5,30
6,21
7,18
8,17
9,26
10,37
11,50
12,37
13,38
14,37
15,50
16,51
17,50
18,51
19,54
20,51
21,50
22,49
23,50
24,37
25,40
26,37
27,50
28,49
29,36
30,37
31,40
32,37
33,38
34,37
35,36
36,37
37,38
38,37
39,40
40,41
41,44
42,41
43,44
44,41
45,40
46,29
47,20
48,25
49,34
50,35
51,30
52,41
53,30
54,29
55,26
56,29
57,34
58,41
59,52
60,65
61,74
62,89
63,74
64,65
65,52
66,45
67,46
68,53
69,42
70,41
71,52
72,61
73,74
74,65
75,80
76,65
77,52
78,41
79,42
80,45
81,38
82,35
83,42
84,41
85,32
86,33
87,26
88,35
89,38
90,49
91,46
92,53
93,66
94,81
95,80
96,81
97,80
98,81
99,74
0,69
1,86
2,105
3,108
4,105
5,86
6,89
7,94
8,91
9,90
10,91
11,74
12,73
13,74
14,59
15,54
16,51
17,54
18,59
19,46
20,35
21,34
22,29
23,40
24,29
25,26
26,27
27,30
28,33
29,30
30,41
31,30
32,33
33,30
34,35
35,46
36,53
37,42
38,45
39,42
40,45
41,42
42,35
43,42
44,45
45,54
46,65
47,56
48,69
49,62
50,77
51,82
52,77
53,72
54,77
55,74
56,81
57,90
58,101
59,104
60,101
61,86
62,101
63,100
64,85
65,72
66,85
67,74
68,85
69,72
70,85
71,100
72,89
73,90
74,101
75,104
76,101
77,86
78,101
79,118
80,137
81,158
82,157
83,146
84,137
85,138
86,161
87,138
88,117
89,110
90,113
91,134
92,113
93,110
94,91
95,90
96,109
97,110
98,109
99,90
0,73
1,74
2,69
3,74
4,69
5,66
6,69
7,72
8,89
9,108
10,89
11,72
12,77
13,74
14,81
15,90
16,107
17,106
18,97
19,116
20,117
21,98
22,91
23,94
24,91
25,74
26,69
27,68
28,73
29,74
30,73
31,80
32,97
33,98
34,117
35,138
36,161
37,154
38,149
39,152
40,157
41,154
42,131
43,126
44,123
45,102
46,83
47,82
48,83
49,86
50,69
51,74
52,91
53,74
54,59
55,66
56,81
57,90
58,93
59,84
60,89
61,82
62,99
63,106
64,99
65,94
66,101
67,120
68,141
69,138
70,117
71,120
72,113
73,118
74,125
75,106
76,101
77,84
78,77
79,62
80,59
81,62
82,57
83,44
84,49
85,44
86,57
87,54
88,57
89,54
90,51
91,50
92,49
93,50
94,37
95,50
96,49
97,50
98,37
99,36
0,49
1,50
2,51
3,54
4,51
5,38
6,37
7,26
8,37
9,38
10,27
11,26
12,37
13,26
14,27
15,26
16,25
17,26
18,27
19,26
20,17
21,20
22,13
23,14
24,11
25,14
26,17
27,12
28,9
29,14
30,17
31,22
32,17
33,22
34,17
35,14
36,19
37,26
38,35
39,30
40,35
41,30
42,29
43,40
44,37
45,38
46,37
47,50
48,53
49,54
50,59
51,66
52,59
53,46
54,53
55,42
56,35
57,42
58,45
59,50
60,59
61,54
62,65
