t,discreteMSD,discreteError,continueMSD,continueError
0,1,0,1,0
1,2.00134,0.0344454,2.00887,0.0402148
2,3.00202,0.0446652,3.00725,0.0477926
3,4.00158,0.0579016,4.01947,0.0530798
4,4.99428,0.0596473,5.02275,0.0521521
5,5.99672,0.0659404,6.01649,0.0579985
6,6.98796,0.0705261,6.996,0.064647
7,7.98236,0.0729986,7.98434,0.066508
8,8.99682,0.0794708,9.00496,0.0746208
9,9.98054,0.0828233,10.0005,0.0768363
10,10.9862,0.0899957,11.0078,0.0836895
11,11.9695,0.0945771,11.9882,0.0901064
12,12.9551,0.0889287,12.9729,0.0976585
13,13.9628,0.0877769,13.9815,0.106897
14,14.9472,0.0931604,14.9724,0.113435
15,15.9411,0.101409,15.9553,0.124673
16,16.9786,0.0966766,16.9204,0.124768
17,17.9711,0.10204,17.9333,0.127349
18,18.9779,0.109651,18.9199,0.128004
19,19.9646,0.112032,19.9161,0.13089
20,20.9639,0.113926,20.9269,0.128191
21,21.9251,0.121112,21.9174,0.127167
22,22.9021,0.120026,22.9156,0.125163
23,23.9275,0.123267,23.9503,0.134379
24,24.9086,0.127722,24.9607,0.136885
25,25.9081,0.125224,25.9791,0.138793
26,26.9135,0.135583,26.9857,0.143948
27,27.9222,0.136021,27.9971,0.146385
28,28.9373,0.139156,28.9527,0.146779
29,29.9338,0.144553,29.9764,0.155368
30,30.9295,0.15534,30.9928,0.160711
31,31.9379,0.162215,31.9877,0.167678
32,32.9374,0.161752,32.9732,0.178848
33,33.9602,0.166286,33.9539,0.181339
34,34.9297,0.166053,34.9364,0.18404
35,35.9477,0.164082,35.9278,0.185099
36,36.9434,0.167004,36.9251,0.184209
37,37.9711,0.172524,37.9317,0.184917
38,38.9851,0.172911,38.9463,0.189316
39,39.9986,0.174515,39.9756,0.194944
40,40.981,0.173576,40.9515,0.197298
41,41.9839,0.171094,41.9901,0.203919
42,42.9339,0.169603,42.977,0.20175
43,43.9191,0.173345,43.972,0.198046
44,44.9347,0.171727,44.9772,0.200934
45,45.9213,0.176044,45.9277,0.200866
46,46.9154,0.180297,46.9253,0.205798
47,47.9034,0.18537,47.9047,0.210089
48,48.9104,0.187449,48.8758,0.211225
49,49.8884,0.190284,49.9238,0.210007
50,50.8401,0.192098,50.9178,0.212121
51,51.8508,0.190451,51.9544,0.209982
52,52.8568,0.19693,52.9307,0.204695
53,53.8578,0.203972,53.9126,0.207116
54,54.8544,0.207982,54.8475,0.20943
55,55.8401,0.201202,55.8152,0.21319
56,56.8471,0.201144,56.7972,0.218553
57,57.8105,0.200261,57.7971,0.219469
58,58.8352,0.20031,58.7318,0.220256
59,59.8318,0.202916,59.6964,0.215667
60,60.8671,0.209413,60.6675,0.217292
61,61.8394,0.216983,61.7039,0.217715
62,62.8293,0.216923,62.6955,0.213137
63,63.8413,0.223318,63.6592,0.218269
64,64.8358,0.231117,64.6925,0.218834
65,65.8623,0.229207,65.6663,0.223024
66,66.8283,0.224653,66.6587,0.221679
67,67.8193,0.224914,67.661,0.221109
68,68.8043,0.224108,68.6748,0.22549
69,69.8572,0.232104,69.6472,0.216901
70,70.8121,0.231323,70.674,0.223452
71,71.7552,0.232772,71.7173,0.229887
72,72.8066,0.231207,72.6869,0.229746
73,73.8799,0.232383,73.7435,0.228831
74,74.9103,0.237217,74.7005,0.236591
75,75.8864,0.240685,75.74,0.234375
76,76.8231,0.239175,76.7079,0.231903
77,77.7728,0.239919,77.6244,0.232632
78,78.7963,0.243637,78.6412,0.230283
79,79.7263,0.243715,79.6633,0.229946
80,80.739,0.248731,80.6611,0.23183
81,81.7228,0.240452,81.6835,0.237875
82,82.7064,0.246596,82.6409,0.234478
83,83.6845,0.251654,83.6243,0.230553
84,84.6573,0.256058,84.6594,0.234736
85,85.6193,0.265263,85.6141,0.236985
86,86.5976,0.267661,86.5878,0.236395
87,87.6212,0.270236,87.588,0.243258
88,88.6842,0.266224,88.6141,0.243209
89,89.6887,0.274332,89.6354,0.247133
90,90.6707,0.271215,90.717,0.248107
91,91.7423,0.277385,91.7281,0.2536
92,92.7371,0.277405,92.7301,0.249933
93,93.7581,0.27389,93.7282,0.249272
94,94.7362,0.269537,94.7287,0.254419
95,95.7565,0.274851,95.6906,0.251542
96,96.8185,0.274846,96.6996,0.244377
97,97.8152,0.272301,97.7356,0.253237
98,98.8977,0.274632,98.7484,0.258345
99,99.8472,0.273249,99.7151,0.256124
