nBlocks,directCall,discreteCall,directCallErr,discreteCallErr,directPut,discretePut,directPutErr,discretePutErr
0,15.9125,14.7442,0,0,5.61667,5.51861,0,0
1,14.406,15.3376,1.50645,0.59341,5.31473,6.216,0.301941,0.697388
2,15.4324,15.0414,1.34535,0.452864,4.83726,5.60605,0.508296,0.730858
3,15.3744,14.4098,0.953074,0.708146,4.707,5.16205,0.382298,0.681331
4,14.7418,14.3464,0.972221,0.552175,4.78691,5.21179,0.306719,0.530095
5,14.659,14.3394,0.798127,0.450903,4.85139,5.4791,0.258604,0.508713
6,14.866,14.794,0.705594,0.593159,4.70001,5.35554,0.265867,0.447345
7,15.1307,15.1962,0.66594,0.652425,4.66712,5.20477,0.232584,0.415713
8,15.578,14.6276,0.738248,0.808936,4.63775,5.27116,0.207213,0.372587
9,15.6277,14.8212,0.662172,0.748996,4.64898,5.32794,0.185677,0.338054
10,15.5239,15.048,0.607877,0.714439,4.77607,5.3063,0.210622,0.306546
11,15.6748,15.2213,0.575056,0.674814,4.83438,5.41052,0.200916,0.298614
12,15.6565,15.2597,0.529292,0.621925,4.92391,5.42063,0.205362,0.274871
13,15.6687,15.2683,0.490181,0.575855,4.93733,5.34064,0.1906,0.266758
14,15.5301,15.6164,0.476899,0.639217,4.95745,5.27663,0.178577,0.256455
15,15.7101,15.3262,0.481018,0.66463,4.96896,5.40703,0.167439,0.273044
16,15.4724,15.284,0.510508,0.625737,5.03439,5.33449,0.170349,0.266541
17,15.3478,15.314,0.497193,0.590713,5.05797,5.35743,0.162329,0.252343
18,15.1949,15.1111,0.494508,0.594468,5.10229,5.37007,0.159815,0.239026
19,15.0867,15.0464,0.48145,0.567656,5.14707,5.34875,0.158089,0.22776
20,15.0367,15.0317,0.460674,0.540151,5.15973,5.37413,0.150904,0.218124
21,14.9021,15.0194,0.459393,0.51516,5.25285,5.40927,0.17139,0.21092
22,14.9789,15.116,0.445635,0.501647,5.23109,5.46542,0.165209,0.209216
23,14.9618,15.1318,0.427006,0.48055,5.25008,5.47097,0.159311,0.200386
24,14.9198,15.2276,0.41172,0.470786,5.30667,5.4204,0.162949,0.198745
25,14.8922,15.1646,0.396529,0.456695,5.31766,5.44963,0.156941,0.193171
26,14.8475,15.0913,0.384169,0.445518,5.34834,5.4267,0.154102,0.187287
27,14.8699,15.1755,0.37087,0.437491,5.36766,5.4947,0.149748,0.19286
28,14.8509,15.2724,0.358357,0.433113,5.37899,5.44463,0.144936,0.19271
29,14.7212,15.2503,0.369695,0.419011,5.33756,5.46273,0.146023,0.187053
30,14.763,15.3566,0.36,0.418977,5.32104,5.45987,0.142196,0.180941
31,14.8253,15.3055,0.354093,0.408877,5.29318,5.44027,0.140472,0.176289
32,14.7629,15.2432,0.348819,0.40116,5.31273,5.43686,0.137544,0.170897
33,14.6755,15.2845,0.349512,0.391374,5.32709,5.43406,0.134208,0.165818
34,14.719,15.2032,0.342161,0.388638,5.34409,5.4293,0.131421,0.161081
35,14.6532,15.1424,0.338966,0.382549,5.37372,5.44287,0.131111,0.15713
36,14.6441,15.2029,0.329805,0.376954,5.38683,5.44353,0.12819,0.152825
37,14.6049,15.171,0.32339,0.368287,5.41457,5.42385,0.127818,0.150045
38,14.5367,15.0788,0.322281,0.370374,5.46471,5.46993,0.134216,0.153237
39,14.5767,15.0055,0.316657,0.368355,5.48381,5.47748,0.132205,0.149548
40,14.5995,14.9807,0.309676,0.360112,5.47075,5.48103,0.129601,0.145898
41,14.6449,14.983,0.305601,0.35144,5.46505,5.45074,0.126606,0.145567
42,14.6071,15.0214,0.300787,0.345312,5.48694,5.46318,0.12555,0.142685
43,14.5954,15.1255,0.294104,0.353081,5.47155,5.41861,0.123624,0.146357
44,14.6192,15.0782,0.288478,0.348377,5.46272,5.44643,0.121168,0.145746
45,14.6107,15.028,0.282267,0.344397,5.46172,5.46748,0.118509,0.144089
46,14.6086,15.1009,0.276204,0.344787,5.47465,5.42062,0.116679,0.148574
