x,y,z
0.622649,-0.330082,0.229649
0.599764,-0.258247,0.434678
0.755783,0.147236,0.306175
1.03183,-0.331626,-0.0255007
0.811064,-0.285768,-0.508199
0.375707,-0.0311145,-0.775042
0.368933,0.224933,-0.795904
0.126826,-0.0357989,-0.824108
0.243636,0.0446694,-1.24015
0.675501,0.298721,-1.2383
0.861507,0.168072,-1.08634
0.861507,0.168072,-1.08634
0.861507,0.168072,-1.08634
0.861507,0.168072,-1.08634
1.28036,0.607947,-0.773056
0.914166,0.161427,-0.559633
1.39964,0.0604485,-0.786882
1.43779,-0.157359,-0.805352
1.15251,-0.6395,-1.1911
0.911538,-0.999023,-0.788835
0.651134,-0.667321,-0.540065
0.352352,-1.00822,-0.365133
0.252264,-1.18136,0.121327
0.252264,-1.18136,0.121327
0.328287,-0.82766,0.322994
0.108231,-0.391123,0.774774
0.490155,-0.600703,1.0567
0.820381,-0.239552,1.29531
0.580814,0.11715,1.34311
0.580814,0.11715,1.34311
0.42245,0.377194,0.882526
0.42245,0.377194,0.882526
-0.0209806,-0.0449881,0.469436
-0.0209806,-0.0449881,0.469436
-0.0794393,0.391645,0.885584
-0.0794393,0.391645,0.885584
0.244841,0.537777,0.573016
-0.195074,0.169614,0.0859764
-0.195074,0.169614,0.0859764
-0.195074,0.169614,0.0859764
-0.0966667,-0.0819371,0.344286
-0.100857,0.305551,0.203286
0.19283,0.0874013,0.512334
0.19283,0.0874013,0.512334
-0.307105,0.243919,0.308697
-0.182814,0.374935,-0.0808857
-0.182814,0.374935,-0.0808857
0.201623,0.0642878,0.388549
0.201623,0.0642878,0.388549
0.319766,-0.286011,0.427252
0.35992,-0.410457,0.590143
0.0427175,-0.901884,0.516119
-0.248542,-1.36928,0.342479
-0.2359,-1.3999,0.362786
-0.683003,-1.33117,0.766545
-0.890447,-1.23697,0.4932
-0.890447,-1.23697,0.4932
-1.26127,-1.07441,0.338651
-1.26127,-1.07441,0.338651
-1.26127,-1.07441,0.338651
-1.29696,-1.37139,0.658781
-1.29696,-1.37139,0.658781
-1.19032,-1.07537,0.447557
-1.37355,-1.08275,0.684776
-1.53395,-1.08608,0.946938
-1.47076,-1.39496,1.11418
-1.8422,-1.19802,1.10422
-1.90744,-1.03612,1.11141
-2.01916,-1.42742,0.626565
-2.29185,-1.4819,0.491828
-2.29185,-1.4819,0.491828
-2.01724,-1.32192,0.107025
-1.91651,-1.4331,0.174843
-1.67244,-1.31854,0.472763
-2.16253,-1.47954,0.507403
-2.16253,-1.47954,0.507403
-1.66494,-1.91537,0.790842
-1.76098,-2.02707,0.460414
-1.38592,-2.21743,0.103634
-1.00322,-1.99095,0.277814
-0.650165,-1.57299,0.412938
-0.650165,-1.57299,0.412938
-0.650165,-1.57299,0.412938
-0.300075,-1.43073,0.723405
-0.300075,-1.43073,0.723405
-0.698911,-1.65255,0.375766
-0.405022,-1.22832,-0.0550548
-0.320384,-0.827597,-0.312035
-0.389841,-0.45537,-0.660062
-0.164368,0.0298062,-0.375998
-0.384478,0.108143,0.0873758
-0.374172,-0.000235904,-0.0794426
-0.415629,0.347589,0.111119
0.00868516,0.413293,0.153334
0.00868516,0.413293,0.153334
0.00868516,0.413293,0.153334
-0.387694,0.685834,0.100741
-0.168044,0.602053,0.110848
-0.447367,1.01955,-0.153577
-0.602989,0.894662,0.330545
-0.862605,1.17846,0.73754
-1.17102,0.7746,1.20093
-0.832209,0.838572,0.714786
-0.64587,0.78351,0.887698
-0.696767,0.357281,1.36986
-0.696767,0.357281,1.36986
-0.199206,0.338661,1.13918
0.159054,-0.0799192,0.777265
0.216901,-0.442579,0.360223
-0.206765,-0.0568269,0.2231
-0.206765,-0.0568269,0.2231
-0.0687506,-0.311191,-0.214216
-0.0687506,-0.311191,-0.214216
-0.0687506,-0.311191,-0.214216
0.0668093,-0.419635,-0.202054
0.543481,-0.216735,-0.188231
0.543481,-0.216735,-0.188231
0.191385,-0.310817,0.210177
0.186294,0.0800826,0.398639
0.168608,-0.152572,0.526417
0.29884,-0.148184,0.092208
0.29884,-0.148184,0.092208
0.214232,-0.0925111,-0.305908
-0.121777,0.0518012,-0.491899
0.0743858,0.478879,-0.755348
-0.114686,0.353961,-0.467962
-0.371452,0.00644027,-0.265184
-0.371452,0.00644027,-0.265184
-0.0624092,0.388923,0.0473713
0.220374,0.227947,0.48668
0.383692,0.371905,0.591773
0.577309,0.661269,0.167892
0.657111,0.806091,-0.0456616
0.300127,0.364576,-0.428895
0.615108,0.772781,-0.580361
1.04827,0.490929,-0.861206
0.548785,0.481746,-1.33415
1.02077,0.769226,-1.26365
0.585214,1.21777,-0.921908
0.15096,1.24282,-1.18764
-0.0470396,1.30078,-1.32866
0.0838688,0.876508,-1.21479
0.119292,0.462342,-1.68919
0.119292,0.462342,-1.68919
0.552089,0.0813044,-1.24483
0.663456,-0.206431,-1.31877
0.66291,-0.58087,-1.02317
