r2,r2^2,err
2.07572,4.30861,0
1.9695,3.8902,0.106223
1.82476,3.37916,0.157196
1.75239,3.12366,0.132634
1.68873,2.91025,0.120863
1.66238,2.81568,0.102142
1.66451,2.81532,0.0863518
1.65744,2.7866,0.0751161
1.65131,2.76223,0.0665292
1.62038,2.6661,0.0670648
1.59919,2.59869,0.0642562
1.59705,2.58847,0.0586967
1.58597,2.55176,0.0551178
1.5625,2.48242,0.0561687
1.54806,2.43769,0.0542474
1.54232,2.41786,0.0510679
1.55678,2.46371,0.0501019
1.55882,2.46791,0.0472806
1.56029,2.47055,0.0447473
1.54304,2.42087,0.0458218
1.54569,2.42729,0.0436657
1.55987,2.47381,0.0439819
1.55749,2.46475,0.0420935
1.55103,2.44401,0.0408158
1.55501,2.45522,0.039351
1.54951,2.43748,0.0382045
1.55477,2.45317,0.0371362
1.55547,2.45408,0.0357922
1.55054,2.43825,0.0348865
1.5511,2.43885,0.0337081
1.54901,2.43145,0.0326693
1.54422,2.41634,0.0319925
1.54203,2.40878,0.0310851
1.53671,2.39242,0.0306229
1.53686,2.39202,0.0297355
1.5373,2.39252,0.0289009
1.53388,2.38166,0.0283158
1.53602,2.38763,0.0276434
1.53393,2.38066,0.0270062
1.52946,2.36706,0.0266985
1.53186,2.37394,0.0261489
1.53204,2.37386,0.0255194
1.52566,2.35544,0.0257224
1.53365,2.38198,0.0263697
1.53445,2.38379,0.0257894
1.53698,2.39123,0.0253497
1.53962,2.39904,0.0249438
1.54485,2.41589,0.0249739
1.54157,2.40568,0.0246779
1.54069,2.40242,0.0241953
1.53879,2.39619,0.0237922
1.53707,2.39049,0.0233938
1.53702,2.3898,0.0229482
1.53683,2.38872,0.02252
1.53698,2.3887,0.0221073
1.53862,2.39343,0.0217709
1.54286,2.40703,0.0218013
1.53979,2.39766,0.0216402
1.54104,2.40115,0.021307
1.54353,2.40873,0.0210953
1.54145,2.40215,0.0208503
1.54171,2.40253,0.0205129
1.54121,2.40059,0.0201909
1.54059,2.39833,0.0198823
1.53951,2.39468,0.0196041
1.53799,2.3898,0.019364
1.53972,2.39493,0.0191504
1.53825,2.39021,0.0189233
1.53609,2.38354,0.0187719
1.53302,2.37441,0.0187559
1.53123,2.36881,0.0185761
1.53056,2.36648,0.0183283
1.53017,2.36497,0.0180797
1.52971,2.36325,0.0178396
1.53484,2.3806,0.0183313
1.53292,2.37466,0.0181899
1.53249,2.37304,0.0179572
1.53298,2.37424,0.0177323
1.53221,2.37162,0.0175233
1.53479,2.37976,0.017494
1.53063,2.3681,0.0177703
1.53033,2.36687,0.0175548
1.52981,2.365,0.0173499
1.52729,2.35753,0.0173259
1.5295,2.3644,0.0172627
1.52799,2.35968,0.0171277
1.52935,2.36373,0.0169846
1.52696,2.35663,0.0169604
1.5262,2.35407,0.016786
1.52481,2.34974,0.016656
1.52436,2.3481,0.0164783
1.52559,2.35172,0.0163444
1.5238,2.3463,0.0162662
1.52376,2.34592,0.0160922
1.52203,2.34068,0.0160155
1.52158,2.33908,0.0158542
1.52055,2.3358,0.0157237
1.51804,2.32855,0.0157629
1.51808,2.32843,0.0156029
1.52039,2.33572,0.0156169
