r2,r2^2,err
1.90713,3.63716,0
1.74052,3.05719,0.166608
1.64173,2.73329,0.137891
1.62763,2.6783,0.098517
1.60278,2.59467,0.0802554
1.58315,2.52976,0.0684057
1.56583,2.47367,0.0603525
1.53606,2.38479,0.0601517
1.54667,2.41559,0.0540998
1.53608,2.38163,0.0495327
1.54351,2.40304,0.0454153
1.52358,2.34456,0.0460009
1.52308,2.34126,0.0423176
1.51501,2.31605,0.0400012
1.51778,2.32319,0.0373425
1.5284,2.35599,0.0365076
1.51278,2.31123,0.0376807
1.51399,2.31365,0.0355463
1.51093,2.30344,0.0337619
1.5025,2.27836,0.0331205
1.51335,2.31244,0.0333198
1.51033,2.30248,0.0319127
1.50885,2.29713,0.0305296
1.50712,2.29113,0.0292809
1.50455,2.28276,0.0282027
1.50953,2.29767,0.0275506
1.51851,2.32623,0.0279883
1.51674,2.32022,0.0270281
1.51253,2.30729,0.0264169
1.51349,2.30958,0.0255393
1.50645,2.28918,0.0256872
1.50668,2.28926,0.0248726
1.51115,2.30281,0.0245181
1.5104,2.29998,0.023798
1.51089,2.30094,0.0231133
1.50993,2.29757,0.0224825
1.50877,2.29364,0.0218972
1.50643,2.28634,0.021441
1.50662,2.28648,0.0208849
1.50455,2.28,0.0204609
1.50271,2.27419,0.0200407
1.50983,2.29734,0.0208135
1.50852,2.29304,0.020366
1.50645,2.2866,0.0200049
1.50585,2.28441,0.0195646
1.5059,2.2842,0.0191346
1.50497,2.28109,0.0187462
1.50782,2.28974,0.0185726
1.50847,2.29137,0.018201
1.50733,2.28769,0.0178693
1.50707,2.28661,0.0175173
1.50916,2.29283,0.0173035
1.50427,2.27906,0.0176627
1.50516,2.28148,0.0173553
1.50261,2.27387,0.0172266
1.50094,2.26871,0.016999
1.50205,2.27184,0.0167351
1.49863,2.26198,0.0167951
1.50059,2.26781,0.016624
1.50044,2.26709,0.0163453
1.49903,2.26273,0.0161366
1.49951,2.26393,0.0158814
1.49928,2.26299,0.0156291
1.49899,2.26189,0.0153856
1.49746,2.25722,0.0152244
1.49623,2.25342,0.0150421
1.4921,2.24197,0.0153815
1.49202,2.24151,0.0151538
1.49274,2.24347,0.0149499
1.49181,2.24054,0.0147639
1.49701,2.25777,0.0154558
1.49591,2.25433,0.0152792
1.50036,2.26885,0.0157107
1.50338,2.27836,0.015789
1.50138,2.2724,0.0157047
1.49901,2.26546,0.0156775
1.50038,2.26949,0.0155335
1.50062,2.26997,0.0153349
1.50047,2.26929,0.0151403
1.49989,2.26735,0.0149611
1.49822,2.26235,0.0148692
1.49801,2.2615,0.0146883
1.49833,2.26226,0.0145138
1.49996,2.26717,0.0144323
1.49827,2.26215,0.0143607
1.49765,2.2601,0.0142066
1.4972,2.25859,0.0140495
1.49922,2.2648,0.0140352
1.50107,2.27046,0.0139991
1.49891,2.26419,0.0140107
1.49953,2.26591,0.01387
1.50071,2.26939,0.0137691
1.50229,2.27416,0.0137107
1.50427,2.28031,0.013709
1.5039,2.27903,0.013569
1.50449,2.28066,0.0134399
1.50363,2.27796,0.0133286
1.50194,2.27298,0.0132999
1.50027,2.26808,0.0132697
1.49808,2.26181,0.013318
