x,y,z
0,0,150
-0.137312,0.431007,151.23
0.798801,2.86391,150.459
2.45509,-0.00926471,148.469
1.13049,0.265883,145.573
-1.48166,1.7938,143.972
-1.5223,3.33009,143.847
-2.97494,1.7657,143.677
-2.27408,2.24851,141.181
0.317112,3.77282,141.192
1.43315,2.98892,142.104
2.50343,0.578209,139.83
2.96704,2.61824,137.146
4.56162,5.43984,135.503
7.07476,8.07909,137.383
4.87758,5.39997,138.663
7.79043,4.7941,137.3
8.01933,3.48726,137.189
6.30764,0.59441,134.875
6.30764,0.59441,134.875
6.30764,0.59441,134.875
4.51495,-1.451,135.924
4.51495,-1.451,135.924
4.51495,-1.451,135.924
4.51495,-1.451,135.924
4.51495,-1.451,135.924
6.80649,-2.70848,137.616
8.78785,-0.54158,139.047
7.35045,1.59863,139.334
7.35045,1.59863,139.334
6.40027,3.1589,136.571
6.40027,3.1589,136.571
3.73968,0.625807,134.092
5.49803,-1.72085,133.17
5.14727,0.898948,135.667
5.14727,0.898948,135.667
7.09295,1.77574,133.792
4.45347,-0.433233,130.869
4.45347,-0.433233,130.869
7.42017,1.91741,130.547
7.42017,1.91741,130.547
7.39503,4.24234,129.701
7.39503,4.24234,129.701
7.39503,4.24234,129.701
4.39542,5.18145,128.479
5.14116,5.96754,126.141
5.14116,5.96754,126.141
5.14116,5.96754,126.141
5.14116,5.96754,126.141
5.85002,3.86575,126.373
6.09094,3.11908,127.351
4.18773,0.170514,126.907
2.44017,-2.63383,125.865
2.51602,-2.81757,125.987
-0.166597,-2.40523,128.409
-1.41126,-1.84003,126.769
-3.95723,-4.1327,123.87
-6.18215,-3.1573,122.943
-8.80218,-6.02204,123.274
-7.29354,-9.0057,122.616
-7.29354,-9.0057,122.616
-7.29354,-9.0057,122.616
-6.65368,-7.2296,121.349
-6.65368,-7.2296,121.349
-6.65368,-7.2296,121.349
-6.27448,-9.08286,122.353
-8.50317,-7.90122,122.293
-8.89461,-6.92984,122.336
-9.56493,-9.27764,119.427
-11.2011,-9.60451,118.618
-11.2011,-9.60451,118.618
-9.55337,-8.64464,116.31
-8.94904,-9.31169,116.717
-8.94904,-9.31169,116.717
-11.8896,-10.2777,116.924
-11.8896,-10.2777,116.924
-11.8896,-10.2777,116.924
-12.4658,-10.9479,114.942
-10.2155,-12.0901,112.801
-7.91927,-10.7312,113.846
-5.80096,-8.22339,114.657
-5.80096,-8.22339,114.657
-7.96426,-11.015,111.914
-7.96426,-11.015,111.914
-7.96426,-11.015,111.914
-10.3573,-12.346,109.828
-8.59394,-9.8006,107.243
-8.08611,-7.39627,105.701
-8.50285,-5.16291,103.613
-8.50285,-5.16291,103.613
-8.50285,-5.16291,103.613
-8.44101,-5.81318,102.612
-8.44101,-5.81318,102.612
-5.89512,-5.41895,102.865
-5.89512,-5.41895,102.865
-5.73046,-2.71244,101.02
-8.10874,-1.07719,100.704
-6.79084,-1.57988,100.765
-8.46677,0.925092,99.1786
-8.46677,0.925092,99.1786
-8.46677,0.925092,99.1786
-8.46677,0.925092,99.1786
-6.43393,1.30892,96.2617
-5.31589,0.978555,97.2992
-5.31589,0.978555,97.2992
-5.31589,0.978555,97.2992
-2.33053,0.866834,95.9151
-0.180971,-1.64465,93.7436
0.166111,-3.82061,91.2414
-2.37589,-1.50609,90.4186
-2.37589,-1.50609,90.4186
-1.5478,-3.03228,87.7947
-1.58629,-3.04053,85.8455
0.860623,-4.8843,84.5406
1.67398,-5.53496,84.6136
4.53401,-4.31757,84.6965
3.29685,-6.3673,82.4002
3.29685,-6.3673,82.4002
3.26631,-4.0219,83.531
3.26631,-4.0219,83.531
4.0477,-3.99557,80.9257
5.68095,-4.32839,81.0964
5.1733,-3.99435,78.7077
3.15725,-3.12848,77.5918
4.33423,-0.56601,76.0111
4.33423,-0.56601,76.0111
4.33423,-0.56601,76.0111
3.80843,-0.639931,75.3641
3.80843,-0.639931,75.3641
3.80843,-0.639931,75.3641
4.78834,0.223821,75.9946
5.95004,1.96,73.4513
6.42885,2.82893,72.17
4.28695,0.179847,69.8706
6.17683,2.62908,68.9618
8.77578,0.937961,67.2767
5.7789,0.882862,64.4391
8.6108,2.60775,64.8621
5.99747,5.29898,66.9125
3.39195,5.44929,65.3181
2.20395,5.79709,64.472
2.9894,3.25144,65.1552
3.20194,0.766441,62.3088
4.5731,1.56089,59.9312
7.16989,-0.725336,62.5974
7.83809,-2.45175,62.1537
7.83809,-2.45175,62.1537
8.27967,-2.3087,61.5055
8.27967,-2.3087,61.5055
7.10998,-1.01199,60.7742
5.47536,1.93858,59.1098
3.53505,2.25266,60.1642
1.14826,2.16951,59.7393
3.67069,3.61596,57.0144
3.67069,3.61596,57.0144
0.779136,2.31777,55.8493
1.79684,0.236052,54.5707
3.43262,1.8074,55.0132
4.68671,-1.17837,54.6011
4.68671,-1.17837,54.6011
4.68671,-1.17837,54.6011
4.68671,-1.17837,54.6011
4.68671,-1.17837,54.6011
4.68671,-1.17837,54.6011
4.68671,-1.17837,54.6011
5.58075,0.736644,52.1017
5.58075,0.736644,52.1017
6.46106,3.49083,49.5329
9.19738,5.77293,50.1133
10.4381,4.9845,48.114
10.4381,4.9845,48.114
12.1539,6.48205,45.5508
12.1539,6.48205,45.5508
14.4797,4.42274,43.2876
14.0525,1.54777,43.0138
14.7342,-1.36409,44.888
14.7342,-1.36409,44.888
13.654,-3.72064,42.8777
15.8298,-5.89819,42.2553
17.388,-8.61054,39.322
16.1043,-10.9462,36.9666
16.1043,-10.9462,36.9666
13.5575,-9.66899,38.1686
13.5575,-9.66899,38.1686
13.5575,-9.66899,38.1686
14.0447,-8.63083,37.1034
14.0447,-8.63083,37.1034
14.0447,-8.63083,37.1034
15.3844,-7.12008,38.5088
15.3844,-7.12008,38.5088
15.3021,-4.47836,40.0183
13.2695,-7.09122,37.2501
12.6881,-8.33509,34.4104
12.6881,-8.33509,34.4104
12.4817,-5.3643,34.1111
9.953,-3.06706,35.0708
7.209,-5.71227,33.0428
7.00973,-6.82732,32.3381
8.36156,-8.63917,31.3713
9.55716,-8.08445,28.849
9.55716,-8.08445,28.849
8.12442,-6.95128,28.8196
9.72391,-4.34069,29.5981
9.72391,-4.34069,29.5981
11.9295,-2.34856,28.6817
11.9295,-2.34856,28.6817
11.9295,-2.34856,28.6817
11.6076,-1.14743,29.0561
11.6076,-1.14743,29.0561
11.6076,-1.14743,29.0561
10.5853,-1.23886,31.5072
10.5853,-1.23886,31.5072
13.2683,-0.00776828,30.0402
15.0064,-1.93739,29.1643
17.689,-2.29281,26.3482
17.689,-2.29281,26.3482
18.512,-2.70654,27.0966
19.9424,-5.2632,25.1519
19.9424,-5.2632,25.1519
20.9433,-2.44089,23.4655
20.9433,-2.44089,23.4655
18.7228,-1.7616,22.4986
16.121,-1.35273,20.7975
14.8281,1.3746,18.1646
12.8328,-0.788629,20.6699
12.8467,1.53293,19.3621
11.2712,2.86217,17.5172
9.14497,4.51942,15.4655
9.30875,5.19481,14.88
8.44424,7.39233,12.5211
8.44424,7.39233,12.5211
8.44424,7.39233,12.5211
8.44424,7.39233,12.5211
8.44424,7.39233,12.5211
8.7707,9.5873,11.0536
10.8761,8.70144,11.5056
10.3348,8.84862,9.55942
10.3348,8.84862,9.55942
7.53995,10.4003,11.1956
9.85662,8.08376,10.5892
9.85662,8.08376,10.5892
9.05967,10.8378,11.7374
10.8022,9.77648,10.7199
10.8022,9.77648,10.7199
11.387,12.537,10.0823
8.92335,13.7998,9.26535
8.2492,13.2,8.15715
7.28832,11.8536,9.58319
4.6298,10.0282,7.61898
4.6298,10.0282,7.61898
4.6298,10.0282,7.61898
5.39302,7.22527,4.7894
5.89352,5.22015,5.29745
5.89352,5.22015,5.29745
7.57896,4.08168,6.19587
5.93301,4.06538,6.82369
4.43122,5.79531,5.0057
5.02225,3.42273,2.47914
6.87656,0.616255,3.78468
5.91721,1.65858,6.23714
5.91721,1.65858,6.23714
8.26176,-0.605817,4.64837
8.26176,-0.605817,4.64837
8.26176,-0.605817,4.64837
11.1564,1.00268,7.57273
11.1564,1.00268,7.57273
10.2662,2.91665,5.55717
7.26832,4.10985,3.27177
5.48228,1.81577,5.29786
5.48228,1.81577,5.29786
6.15744,1.18197,4.62527
6.15744,1.18197,4.62527
6.15744,1.18197,4.62527
4.09157,-0.815487,7.39827
2.49039,1.22408,6.65541
3.8158,-1.19003,4.82293
3.8158,-1.19003,4.82293
1.22964,-3.8304,6.38049
0.58208,-3.28587,4.34805
0.58208,-3.28587,4.34805
-1.89318,-1.55649,2.70742
-1.89318,-1.55649,2.70742
0.445483,1.02488,3.8863
1.9121,0.347011,2.38737
1.9121,0.347011,2.38737
1.9121,0.347011,2.38737
1.9121,0.347011,2.38737
2.22313,0.656006,4.97887
4.8641,0.258365,2.65062
4.8641,0.258365,2.65062
4.99787,0.908241,3.94008
4.99787,0.908241,3.94008
2.22321,1.23758,6.23747
2.22321,1.23758,6.23747
2.22321,1.23758,6.23747
2.22321,1.23758,6.23747
2.22321,1.23758,6.23747
2.22321,1.23758,6.23747
2.22321,1.23758,6.23747
4.60572,2.06469,7.97558
2.92469,1.42593,5.93826
2.92469,1.42593,5.93826
0.97709,2.54252,3.82983
1.75715,-0.231517,5.28836
1.75715,-0.231517,5.28836
1.60176,0.537488,4.80748
1.60176,0.537488,4.80748
1.60176,0.537488,4.80748
-1.27262,-0.97687,6.87524
1.26808,-1.76703,5.73676
1.26808,-1.76703,5.73676
-0.602928,-0.804342,8.07021
-0.602928,-0.804342,8.07021
0.465255,0.0452698,7.50972
2.49116,0.696043,7.99239
2.49116,0.696043,7.99239
5.16214,2.96697,5.47751
2.23235,1.13394,7.61823
2.23235,1.13394,7.61823
4.43777,0.756263,6.16888
4.43777,0.756263,6.16888
2.71541,0.458066,4.13634
-0.0705609,-2.11996,1.48989
-0.0705609,-2.11996,1.48989
-0.0705609,-2.11996,1.48989
-2.20555,-1.61999,4.04046
-1.82548,-0.240109,3.90791
-1.82548,-0.240109,3.90791
-0.046198,0.682701,5.63347
-0.046198,0.682701,5.63347
-0.046198,0.682701,5.63347
-0.877952,3.29276,5.71579
1.79218,2.49407,5.36209
4.23816,0.923707,4.11774
4.23816,0.923707,4.11774
1.81678,0.454248,4.17591
1.81678,0.454248,4.17591
1.81678,0.454248,4.17591
1.10665,0.165403,5.08976
1.75285,-2.80228,2.92198
-0.159384,-2.41576,5.38795
-0.159384,-2.41576,5.38795
