nBlock,integral,error
0,-0.427735,0
1,-0.453224,0.0254893
2,-0.437203,0.0217544
3,-0.425257,0.0194763
4,-0.425998,0.0151045
5,-0.419237,0.0140644
6,-0.415815,0.0123694
7,-0.43339,0.0205821
8,-0.42392,0.0204734
9,-0.416739,0.0196697
10,-0.420362,0.0181571
11,-0.426636,0.0177229
12,-0.428006,0.0163601
13,-0.425534,0.015347
14,-0.419136,0.0156545
15,-0.418457,0.0146591
16,-0.414141,0.0144305
17,-0.41718,0.0139404
18,-0.417129,0.0131864
19,-0.41963,0.0127573
20,-0.418932,0.0121546
21,-0.419853,0.0116255
22,-0.419496,0.0111143
23,-0.420436,0.0106826
24,-0.421907,0.0103514
25,-0.420433,0.0100539
26,-0.420439,0.00967442
27,-0.419913,0.00933729
28,-0.422909,0.00949466
29,-0.42574,0.00959955
30,-0.425651,0.00928516
31,-0.426804,0.00906402
32,-0.429374,0.00915307
33,-0.430807,0.00899473
34,-0.431637,0.00877327
35,-0.430154,0.00865413
36,-0.431589,0.00853842
37,-0.431577,0.0083107
38,-0.43184,0.00809907
39,-0.430315,0.00803989
40,-0.428091,0.00815081
41,-0.429927,0.00816352
42,-0.43003,0.00797207
43,-0.432938,0.00831395
44,-0.434305,0.00824133
45,-0.434642,0.0080672
46,-0.435371,0.00792727
47,-0.435404,0.00776043
48,-0.434847,0.00762077
49,-0.433099,0.00766883
50,-0.432742,0.00752541
51,-0.431651,0.00745943
52,-0.433291,0.00749873
53,-0.432675,0.00738424
54,-0.432937,0.00725346
55,-0.432524,0.00713474
56,-0.43302,0.00702599
57,-0.432956,0.00690409
58,-0.430591,0.00718635
59,-0.430823,0.00706936
60,-0.430199,0.00698048
61,-0.429634,0.00689011
62,-0.430059,0.00679316
63,-0.430188,0.00668741
64,-0.432089,0.00685273
65,-0.431604,0.00676551
66,-0.432763,0.00676373
67,-0.432353,0.00667608
68,-0.432541,0.0065813
69,-0.43245,0.00648725
70,-0.431462,0.00647103
71,-0.432077,0.00641012
72,-0.432665,0.00634899
73,-0.434052,0.00641426
74,-0.433583,0.00634551
75,-0.433449,0.00626289
76,-0.433402,0.00618119
77,-0.433461,0.00610171
78,-0.434109,0.00605877
79,-0.435031,0.00605316
80,-0.435501,0.00599639
81,-0.435074,0.00593816
82,-0.434891,0.00586904
83,-0.434138,0.00584746
84,-0.434565,0.00579403
85,-0.435028,0.00574491
86,-0.433816,0.00580633
87,-0.434176,0.00575123
88,-0.434205,0.00568631
89,-0.434923,0.00566843
90,-0.434656,0.00561213
91,-0.434127,0.00557594
92,-0.434326,0.00551923
93,-0.433819,0.00548367
94,-0.433688,0.00542722
95,-0.434118,0.00538758
96,-0.434128,0.00533176
97,-0.434012,0.00527834
98,-0.434053,0.00522491
99,-0.434427,0.00518592
