mu,sigma,I,errs
0.987349,1.00722,0.759927,0.0466423
1.00257,1.02832,0.548853,0.0384536
0.980389,1.02817,0.635718,0.0441299
0.997093,1.04797,0.922738,0.0632202
1.00755,1.05075,0.653582,0.0390112
0.988563,1.02602,0.510269,0.0384452
0.988563,1.02602,0.510269,0.0384452
1.01302,1.03356,0.852973,0.0558691
0.990528,1.01594,0.602428,0.0379917
0.986393,1.01426,0.539659,0.0443748
0.989566,1.0024,0.739497,0.0547597
0.994441,1.0268,0.774927,0.0481022
0.994312,1.0078,0.497497,0.0432422
1.01087,0.997934,0.641389,0.0496477
0.990152,0.987227,0.667088,0.0389908
0.996141,0.980666,0.527733,0.0380506
1.00956,0.99453,0.761653,0.0519139
1.00194,0.972882,0.419951,0.0337688
1.0014,0.968616,0.58262,0.0409264
1.01226,0.943713,0.611901,0.039398
1.00075,0.967596,0.47977,0.0402139
0.976696,0.990654,0.508904,0.0394627
0.99912,1.01459,0.549703,0.0369097
1.01697,1.03689,0.703935,0.0410893
1.02655,1.03007,0.75453,0.0464583
1.02857,1.03386,0.746254,0.04623
1.01492,1.05251,0.449659,0.0379717
0.992401,1.04179,0.725604,0.0510573
0.992401,1.04179,0.725604,0.0510573
0.996086,1.03756,0.712831,0.0487856
1.01481,1.05215,1.12765,0.0700308
1.01488,1.03981,0.753742,0.0483373
1.00912,1.04003,0.813092,0.0566121
1.01214,1.04203,0.660117,0.05507
0.989751,1.03718,0.808711,0.0414782
0.972075,1.04447,0.715897,0.0520457
0.985525,1.02967,0.587931,0.0490479
1.00152,1.01814,0.804122,0.0511918
0.993009,1.00122,0.507716,0.032925
0.999218,0.985682,0.67704,0.0413138
1.00551,1.0105,0.586559,0.0377181
1.01906,1.0084,0.901298,0.0516322
1.03909,1.02017,0.89742,0.0439363
1.02623,1.01838,0.496006,0.0366898
1.02274,0.994125,0.619933,0.0378309
1.00748,1.00055,0.569342,0.0389399
1.02463,1.00285,0.647727,0.0459608
1.03966,0.99527,0.709357,0.0636244
1.03566,0.989144,0.655722,0.0389232
1.04969,0.99304,0.747575,0.0470106
1.07106,0.992606,0.996042,0.0683436
1.08062,1.00861,0.817906,0.0398497
1.06254,1.02056,1.04757,0.0698872
1.07564,0.995838,1.19291,0.0798689
1.0893,0.982028,0.902372,0.0487745
1.08493,0.978609,0.798859,0.0514125
1.0935,0.961531,0.626488,0.0442663
1.0935,0.961531,0.626488,0.0442663
1.08391,0.967067,0.822271,0.0478004
1.07202,0.955079,0.704359,0.0358928
1.07794,0.945816,0.443376,0.0326247
1.06426,0.927424,0.600307,0.0370299
1.04097,0.92021,0.322656,0.038368
1.04097,0.92021,0.322656,0.038368
1.02162,0.915357,0.388349,0.0302712
1.04547,0.913712,0.748204,0.0399553
1.06027,0.931457,0.664618,0.0381294
1.06025,0.923282,0.64755,0.0430292
1.07653,0.910192,0.604948,0.0393681
1.06692,0.934335,0.689357,0.041698
1.08838,0.948563,0.849068,0.0485617
1.07966,0.934162,0.580776,0.0332786
1.10266,0.949644,0.840718,0.0572024
1.10314,0.934217,0.6999,0.0424799
1.10314,0.934217,0.6999,0.0424799
1.07994,0.924516,0.548926,0.0376038
1.09774,0.931522,0.586139,0.0392824
1.12105,0.938023,0.966704,0.0534577
1.09668,0.941399,0.868941,0.0407142
1.11137,0.925606,1.01484,0.0519339
1.10601,0.920561,0.895143,0.0496703
1.12031,0.927879,0.792028,0.0481799
1.10762,0.905892,0.562624,0.0350761
1.10325,0.905414,0.807513,0.0407363
1.0929,0.884788,0.49412,0.0298747
1.06961,0.86722,0.294341,0.0303737
1.09377,0.877136,0.516394,0.0342727
1.10097,0.88962,0.712451,0.0658446
1.09884,0.879042,0.499071,0.0331582
1.11291,0.86238,0.823899,0.0385324
1.1187,0.86968,0.609341,0.0377731
1.12053,0.879503,0.544046,0.033235
1.10759,0.864312,0.377835,0.0281961
1.10759,0.864312,0.377835,0.0281961
1.10759,0.864312,0.377835,0.0281961
1.11972,0.881697,0.542582,0.0327167
1.10729,0.89937,0.599155,0.03358
1.09514,0.895227,0.650468,0.0348632
1.09778,0.919829,0.546373,0.0302463
1.09409,0.935863,0.880289,0.0448127
1.09409,0.935863,0.880289,0.0448127
1.07978,0.926853,0.567421,0.0426004
1.07934,0.925266,0.615202,0.0453734
1.07736,0.927216,0.568165,0.0361431
1.07736,0.927216,0.568165,0.0361431
1.0925,0.951446,0.809325,0.0419774
1.11349,0.95034,0.807644,0.044064
1.10642,0.940111,0.777833,0.0401626
1.10429,0.948807,0.758002,0.0597628
1.08459,0.969604,0.881118,0.0474904
1.08459,0.969604,0.881118,0.0474904
1.10147,0.98912,0.997,0.0517158
1.09552,0.996292,1.07373,0.0682633
1.11055,1.01459,1.28517,0.0602779
1.12598,1.02778,1.28709,0.0663938
1.14733,1.02169,1.42455,0.0755918
1.14733,1.02169,1.42455,0.0755918
1.17025,1.04578,1.82903,0.0768423
1.14582,1.03728,1.64698,0.0877888
1.14859,1.05647,1.57919,0.0783059
1.13561,1.04292,0.999895,0.0556587
1.13561,1.04292,0.999895,0.0556587
1.13031,1.02739,1.3891,0.0684601
1.14766,1.02464,1.39178,0.0717502
1.12658,1.00263,1.0463,0.0516225
1.11948,0.991619,0.861954,0.0455405
1.09578,0.989591,0.95411,0.0507917
1.11226,1.00309,1.08471,0.0466082
1.09906,1.00255,0.981856,0.0559019
1.0907,0.982514,0.865916,0.0452591
1.10973,0.97844,0.750329,0.0400401
1.1164,0.974333,1.16946,0.0474074
1.12147,0.982716,0.906709,0.0418765
1.12147,0.982716,0.906709,0.0418765
1.1032,0.967012,0.725288,0.0469474
1.11927,0.962611,0.720729,0.0407151
1.11927,0.962611,0.720729,0.0407151
1.13291,0.967433,0.859788,0.0419172
1.13596,0.985993,0.97083,0.0513599
1.13596,0.985993,0.97083,0.0513599
1.13594,0.964091,1.03089,0.0458503
1.15488,0.946677,0.737317,0.0343501
1.13633,0.928221,0.979572,0.0387604
1.14124,0.908457,0.973735,0.0440244
1.12559,0.908747,0.588818,0.0345576
1.10584,0.90333,0.577427,0.0341492
1.08923,0.914495,0.599178,0.0356275
1.08923,0.914495,0.599178,0.0356275
1.10681,0.914049,0.992927,0.0515115
1.13157,0.920171,0.821619,0.0447598
1.10734,0.898525,0.81132,0.058714
1.08425,0.878955,0.425571,0.0322765
1.09163,0.872581,0.623048,0.0392598
1.10723,0.88603,0.601696,0.0341208
1.09184,0.882644,0.444084,0.0343872
1.09381,0.860195,0.435619,0.0312493
1.09381,0.860195,0.435619,0.0312493
1.09506,0.882452,0.520105,0.0301824
1.07297,0.889283,0.423493,0.0348589
1.06659,0.899198,0.510067,0.0311768
1.0881,0.910215,0.505876,0.0311906
1.07372,0.902801,0.665228,0.0450086
1.08085,0.920937,0.53394,0.0346543
1.08085,0.920937,0.53394,0.0346543
1.08085,0.920937,0.53394,0.0346543
1.08934,0.898159,0.475033,0.0324913
1.06451,0.888534,0.485709,0.0413632
1.05479,0.908862,0.282976,0.0279285
1.05479,0.908862,0.282976,0.0279285
1.05479,0.908862,0.282976,0.0279285
1.07096,0.890767,0.57027,0.0313625
1.05528,0.88576,0.571421,0.0349623
1.04223,0.894077,0.641403,0.0437541
1.03848,0.893422,0.295329,0.0276758
1.06294,0.915803,0.481537,0.0285791
1.06294,0.915803,0.481537,0.0285791
1.06294,0.915803,0.481537,0.0285791
1.05169,0.925958,0.524579,0.0342698
1.03389,0.917733,0.500235,0.0389677
1.04253,0.933036,0.4146,0.0301177
1.03863,0.924982,0.39125,0.0264181
1.03863,0.924982,0.39125,0.0264181
1.03761,0.905238,0.37874,0.0350461
1.03761,0.905238,0.37874,0.0350461
1.06015,0.881713,0.315218,0.0281679
1.0354,0.86966,0.20821,0.0250036
1.04527,0.848026,0.356387,0.0309701
1.03984,0.870648,0.367465,0.0281734
1.06101,0.850888,0.267817,0.0235248
1.06101,0.850888,0.267817,0.0235248
1.07093,0.862363,0.429821,0.0328367
1.07565,0.842552,0.265156,0.0258093
1.07565,0.842552,0.265156,0.0258093
1.06476,0.856837,0.351617,0.0269065
1.05997,0.874832,0.391031,0.0377127
1.06574,0.853358,0.383659,0.0267449
1.06343,0.83859,0.228957,0.0271473
1.08804,0.862809,0.464851,0.0242716
1.08792,0.870431,0.457303,0.0308145
1.06879,0.872405,0.485645,0.0325236
1.05184,0.853045,0.156979,0.0217689
1.05184,0.853045,0.156979,0.0217689
1.07034,0.830116,0.253152,0.0213487
1.05172,0.839722,0.244647,0.0260626
1.02806,0.858496,0.328439,0.0320415
1.04902,0.851745,0.404519,0.0341609
1.0421,0.860175,0.170806,0.0269521
1.03103,0.866469,0.202131,0.0257423
1.05057,0.849666,0.201853,0.0248988
1.03014,0.843516,0.156236,0.0214333
1.04453,0.848085,0.273102,0.0235482
1.06153,0.829758,0.229443,0.0251089
1.07568,0.806572,0.264637,0.0252249
1.05783,0.825908,0.201764,0.0312933
1.04924,0.826684,0.183487,0.0242463
1.03108,0.821026,0.147581,0.0206218
1.0483,0.796837,0.0870405,0.0170931
1.06777,0.805595,0.199527,0.0218139
1.07763,0.784702,0.0741039,0.0181602
1.08125,0.809612,0.239018,0.0223945
1.08125,0.809612,0.239018,0.0223945
1.08566,0.792276,0.288235,0.025308
1.11058,0.789708,0.224307,0.019611
1.11058,0.789708,0.224307,0.019611
1.11798,0.803472,0.391718,0.0288377
1.12175,0.825236,0.345072,0.0238065
1.10729,0.823144,0.451034,0.0268775
1.1067,0.840866,0.478327,0.0271706
1.12113,0.827278,0.35863,0.0290859
1.11231,0.841073,0.291726,0.0278021
1.11312,0.838113,0.612613,0.0315285
1.11275,0.816671,0.272673,0.0280386
1.13194,0.83967,0.589849,0.0293633
1.11841,0.828301,0.574224,0.0341798
1.11515,0.850855,0.337948,0.023957
1.11515,0.850855,0.337948,0.023957
1.09545,0.834595,0.385697,0.0301224
1.08611,0.845391,0.472492,0.0308534
1.08176,0.835785,0.284344,0.0260035
1.08176,0.835785,0.284344,0.0260035
1.08176,0.835785,0.284344,0.0260035
1.1023,0.854109,0.463453,0.0264288
1.08863,0.87506,0.537261,0.0372242
1.08738,0.888188,0.413624,0.0242376
1.06384,0.879019,0.382509,0.0343982
1.08137,0.892884,0.488431,0.0329635
1.08354,0.881389,0.557871,0.0342068
1.09242,0.875512,0.303366,0.026093
1.10712,0.891899,0.472488,0.0271767
1.09147,0.904578,0.739453,0.0395334
1.07534,0.920916,0.677072,0.039987
1.07536,0.910264,0.42322,0.0345764
1.06503,0.889351,0.446904,0.0337493
1.07681,0.889189,0.336633,0.0279483
1.07681,0.889189,0.336633,0.0279483
1.0638,0.906321,0.413692,0.0283232
1.05488,0.926582,0.571676,0.0354207
1.07973,0.947394,0.848407,0.0528567
1.09217,0.969786,0.783645,0.0448552
1.09422,0.94669,0.789349,0.038543
1.07123,0.937297,0.536676,0.033958
1.09343,0.920689,0.885489,0.0557371
1.10366,0.902825,0.628463,0.0384105
1.12609,0.903002,0.656261,0.0462588
1.12609,0.903002,0.656261,0.0462588
1.10628,0.903554,0.658247,0.0380869
1.10628,0.903554,0.658247,0.0380869
1.09526,0.923492,0.687779,0.0376247
1.07563,0.932415,0.596095,0.0333495
1.07563,0.932415,0.596095,0.0333495
1.0578,0.92411,0.547983,0.0369884
1.05364,0.931893,0.487281,0.0345012
1.05364,0.931893,0.487281,0.0345012
1.05363,0.921317,0.511215,0.037141
1.04813,0.92381,0.353364,0.0280702
1.06719,0.930997,0.612244,0.0424621
1.06833,0.93827,0.46947,0.0407282
1.06833,0.93827,0.46947,0.0407282
1.05805,0.946519,0.643673,0.0498429
1.07743,0.951461,0.884264,0.0552317
1.1002,0.946329,0.845225,0.0420275
1.10816,0.95991,0.823481,0.0527267
1.11077,0.952631,1.13065,0.0537599
1.1156,0.943935,1.12454,0.056237
1.10352,0.954731,0.459072,0.0277605
1.10352,0.954731,0.459072,0.0277605
1.10352,0.954731,0.459072,0.0277605
1.10352,0.954731,0.459072,0.0277605
1.09701,0.975001,0.830112,0.0444968
1.09765,0.979621,0.958093,0.0482459
1.09765,0.979621,0.958093,0.0482459
1.08632,0.980592,0.735095,0.0401481
1.07248,1.00397,1.12724,0.0506343
1.09538,1.00268,1.24534,0.0615734
1.10589,0.989006,1.23784,0.0658402
1.08367,0.977671,1.00702,0.0538038
1.08611,0.97045,0.85147,0.0436587
1.08252,0.971745,1.14931,0.049063
1.09596,0.949342,0.695872,0.0359447
1.07789,0.955322,0.744486,0.0461914
1.06478,0.961416,0.705676,0.0380729
1.04264,0.977675,0.507269,0.0327618
1.04264,0.977675,0.507269,0.0327618
1.04264,0.977675,0.507269,0.0327618
1.02112,0.965512,0.55359,0.0492656
1.01245,0.951466,0.554004,0.0390821
1.01245,0.951466,0.554004,0.0390821
0.99443,0.939201,0.437371,0.0400479
0.983788,0.941549,0.33058,0.0278004
0.965698,0.934859,0.190169,0.0245008
0.969199,0.916997,0.199524,0.0260336
0.971428,0.914032,0.0513501,0.020694
0.979565,0.911111,0.000412413,0.0196671
0.979565,0.911111,0.000412413,0.0196671
0.95587,0.887891,0.0509772,0.0226714
0.95587,0.887891,0.0509772,0.0226714
0.967733,0.87259,0.00209523,0.0165929
0.96514,0.866517,0.0476562,0.0232009
0.96514,0.866517,0.0476562,0.0232009
0.966569,0.843724,0.093042,0.0219513
0.975253,0.851768,0.0913343,0.0300934
